boundaryCollection,boundaryName,boundaryISO,boundaryYearRepresented,boundaryType,boundaryCanonical,nameField,boundarySource-1,boundarySource-2,boundarySource-3,boundarySource-4,boundaryLicense,licenseDetail,licenseSource,boundarySourceURL,sourceDataUpdateDate,buildUpdateDate,Continent,UNSDG-region,UNSDG-subregion,worldBankIncomeGroup,apiURL,boundaryCount,boundaryYearSourceLag,statsArea,statsPerimeter,statsVertices,statsLineResolution,statsVertexDensity
geoBoundaries (Open),Comoros,COM,2019,ADM2,Prefecture,shapeName,geoBoundaries (Open),Comoros National Disaster Management Agency (COSEP-Centre des secours et de la protection civil),OCHA ROSEA,,Creative Commons Attribution 4.0 International (CC BY 4.0),,data.humdata.org/dataset/comoros-administrative-level-0-3-boundaries,data.humdata.org/dataset/comoros-administrative-level-0-3-boundaries,"Sep 17, 2021","Sep 17, 2021",Africa,Sub-Saharan Africa,Eastern Africa,Low-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/COM/ADM2/geoBoundaries-COM-ADM2.topojson,17,,1653.4798377431916,999.9924379223775,16701,59.87620130066328,16.701126295213427
geoBoundaries (Open),Comoros,COM,2019,ADM3,Commune,shapeName,geoBoundaries (Open),Comoros National Disaster Management Agency (COSEP-Centre des secours et de la protection civil),OCHA ROSEA,,Creative Commons Attribution 4.0 International (CC BY 4.0),,data.humdata.org/dataset/comoros-administrative-level-0-3-boundaries,data.humdata.org/dataset/comoros-administrative-level-0-3-boundaries,"Sep 17, 2021","Sep 17, 2021",Africa,Sub-Saharan Africa,Eastern Africa,Low-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/COM/ADM3/geoBoundaries-COM-ADM3.topojson,55,,1653.4783114070972,1550.58297342679,17493,88.64019741764076,11.281563321529612
geoBoundaries (Open),Comoros,COM,2017,ADM0,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 25, 2021",Africa,Sub-Saharan Africa,Eastern Africa,Low-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/COM/ADM0/geoBoundaries-COM-ADM0.topojson,1,,1649.1481288479592,466.19884313107355,5193,89.77447393242316,11.139023780331366
geoBoundaries (Open),Comoros,COM,2017,ADM1,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 25, 2021",Africa,Sub-Saharan Africa,Eastern Africa,Low-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/COM/ADM1/geoBoundaries-COM-ADM1.topojson,3,,1649.1481288476682,466.19884313110254,5193,89.77447393242876,11.139023780330673
geoBoundaries (Open),Nicaragua,NIC,2017,ADM2,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 27, 2021",Latin America and the Caribbean,Latin America and the Caribbean,Central America,Lower-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/NIC/ADM2/geoBoundaries-NIC-ADM2.topojson,153,,128490.47077015326,22139.255941128427,253906,87.19469386752746,11.468587773463291
geoBoundaries (Open),Nicaragua,NIC,2017,ADM0,Unknown,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,www.openstreetmap.org/copyright,wambachers-osm.website/boundaries/,"Sep 25, 2020","Aug 27, 2021",Latin America and the Caribbean,Latin America and the Caribbean,Central America,Lower-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/NIC/ADM0/geoBoundaries-NIC-ADM0.topojson,1,,128490.95668742902,2796.386625356972,18700,149.53939173031938,6.687201201161822
geoBoundaries (Open),Nicaragua,NIC,2017,ADM1,Departamentos,shapeName,geoBoundaries (Open),OpenStreetMap,Wambacher,,Open Data Commons Open Database License 1.0,Open Data Commons Open Database License 1.0,osm-boundaries.com/,wambachers-osm.website/boundaries/,"Oct 28, 2020","Aug 27, 2021",Latin America and the Caribbean,Latin America and the Caribbean,Central America,Lower-middle-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/NIC/ADM1/geoBoundaries-NIC-ADM1.topojson,17,,128490.92210007274,8865.312865711465,83958,105.59223499501495,9.470393348973156
geoBoundaries (Open),Niue,NIU,2020,ADM0,Niue,shapeName,geoBoundaries (Open),geoBoundaries,Pacific Data Hub,,Creative Commons Attribution 4.0 International (CC BY 4.0),,pacificdata.org/data/dataset/2011_niu_phc_admin_boundaries,pacificdata.org/data/dataset/2011_niu_phc_admin_boundaries,"Dec 18, 2020","Aug 27, 2021",Oceania,Oceania (excluding Australia and New Zealand),Polynesia,No income group available,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/NIU/ADM0/geoBoundaries-NIU-ADM0.topojson,1,,261.4390982909347,71.4837465794441,2072,34.49987769278191,28.985610004328247
geoBoundaries (Open),Niue,NIU,2020,ADM1,village,shapeName,geoBoundaries (Open),Pacific Data Hub,,,Creative Commons Attribution 4.0 International (CC BY 4.0),,pacificdata.org/data/dataset/2011_niu_phc_admin_boundaries,pacificdata.org/data/dataset/2011_niu_phc_admin_boundaries,"Dec 17, 2020","Aug 27, 2021",Oceania,Oceania (excluding Australia and New Zealand),Polynesia,No income group available,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/NIU/ADM1/geoBoundaries-NIU-ADM1.topojson,14,,261.43957484938204,262.7552249075236,2311,113.6976308557004,8.79525802317862
geoBoundaries (Open),Eritrea,ERI,2020,ADM2,districts,shapeName,geoBoundaries (Open),OCHA ROSEA,OCHA ROSEA,,Creative Commons Attribution 3.0 Intergovernmental Organisations (CC BY 3.0 IGO),,data.humdata.org/dataset/eritrea-admin-level-1-boundaries,data.humdata.org/dataset/eritrea-admin-level-1-boundaries,"Sep 08, 2021","Sep 08, 2021",Africa,Sub-Saharan Africa,Eastern Africa,Low-income Countries,https://github.com/wmgeolab/geoBoundaries/raw/main/releaseData/gbOpen/ERI/ADM2/geoBoundaries-ERI-ADM2.topojson,58,,121047.37090674796,14090.082671506787,104742,134.52180282510156,7.4337392080609375
